Nombre,ntProm,asPor
Estudiante 1,6.6,88
Estudiante 2,6.6,84
Estudiante 3,6.5,93
Estudiante 4,6.4,92
Estudiante 5,6.4,83
Estudiante 6,6.4,93
Estudiante 7,6.2,88
Estudiante 8,6.2,90
Estudiante 9,6.2,95
Estudiante 10,6.1,86
Estudiante 11,6.1,93
Estudiante 12,6.1,92
Estudiante 13,6.1,87
Estudiante 14,5.7,92
Estudiante 15,5.7,61
Estudiante 16,5.7,93
Estudiante 17,5.6,87
Estudiante 18,5.6,89
Estudiante 19,5.6,82
Estudiante 20,5.5,89
Estudiante 21,5.5,95
Estudiante 22,5.4,69
Estudiante 23,5.4,92
Estudiante 24,5.4,83
Estudiante 25,5.4,90
Estudiante 26,5.3,66
Estudiante 27,5.3,90
Estudiante 28,5.2,86
Estudiante 29,5.2,72
Estudiante 30,5.2,78
Estudiante 31,5.2,80
Estudiante 32,5.1,65
Estudiante 33,5.1,86
Estudiante 34,5.1,51
Estudiante  35,4.5,81